% N2 N 0 0 0; N 0 0 2.0 / cc-pVDZ / CASCI(10e,12o) ncore=2
% gauge: orbitales RHF adaptados por simetria, grupo Dooh
% ruido FakeTorino/Heron: lambda_depol=0.05, p(1->0)=0.0229, p(0->1)=0.02,
%   escalados linealmente por 'scale' y saturados en 0.9/0.5/0.5
% 3000 tiros por escala, semilla 0; subespacio D=120 cadenas
% lost = porcentaje de tiros con N_alpha != 5 (ruptura de numero de particulas)
% eraw = descartar los invalidos;  erec = tras recuperacion S-CORE.  Ambos en mHa
% E_FCI = -108.808041914356 Ha
% generado por figures/data_figs.py
scale lost eraw erec
0 0.00 28.64 28.64
1 23.30 27.47 26.54
2 38.80 29.28 28.55
3 50.57 26.11 26.38
