% N2 CAS(10e,12o) cc-pVDZ, escalera de geometrias, 5 semillas por punto
% gap = error(control clasico) - error(propuesta generativa), en mHa; >0 = gana la generativa
% escalas de ruido: 0x, 1x (Heron calibrado) y 3x.  t = media/(sd/sqrt(5))
% GAUGE: adaptado por simetria (D-infinity-h, mol.symmetry=True), OMP_NUM_THREADS=1
% rho: recompensa Epstein-Nesbet con entradas < 1e-12*max puestas a cero antes de rankear
% generado por calculations/n2_ladder_crossover.py; sd muestral (ddof=1)
% REPLICA (bloque anadido a mano tras generar el fichero; n2_ladder_crossover.py
%   no lo escribe). Esta escalera se corrio dos veces: corrida A (semillas 0-4, la
%   de aqui) y corrida B (semillas 5-9, en results/ladder_replicacion_semillas5-9.dat).
%   El brazo de 3x replica entero: 4/4 positivos y significativos en ambas.
%   El brazo de 1x NO resuelve a cinco semillas: las dos corridas coinciden
%   en signo en solo 2 de 4 geometrias. No leer gap1 como una medida de un
%   efecto, sino como la ausencia de uno estable.
R rho whf gap0 gap0sd t0 gap1 gap1sd t1 gap3 gap3sd t3
1.10 0.4723 0.9300 -1.537 0.856 -4.0 -4.028 1.675 -5.4 10.270 3.426 6.7
1.70 0.4354 0.6396 0.150 2.136 0.2 0.340 2.509 0.3 22.859 9.323 5.5
2.00 0.4144 0.3392 -0.723 1.918 -0.8 3.011 1.247 5.4 18.159 4.245 9.6
2.50 0.3790 0.1208 -11.492 8.448 -3.0 5.231 3.189 3.7 10.028 2.831 7.9
